game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
2017_18_TEN_KC,2017,WC,18,2018-01-06,Saturday,16:36,TEN,22.0,KC,21.0,Home,-1.0,43.0,0.0,2018010600,57490.0,,201801060kan,9297.0,400999175,,6,6,369.0,-430.0,8.5,-105.0,-105.0,44.0,-104.0,-106.0,0,outdoors,grass,33.0,10.0,00-0032268,00-0023436,Marcus Mariota,Alex Smith,Mike Mularkey,Andy Reid,Jeff Triplette,KAN00,Arrowhead Stadium
2017_18_ATL_LA,2017,WC,18,2018-01-06,Saturday,20:15,ATL,26.0,LA,13.0,Home,-13.0,39.0,0.0,2018010601,57491.0,,201801060ram,9298.0,400999171,,6,6,222.0,-250.0,6.5,-113.0,102.0,48.0,-110.0,-100.0,0,outdoors,grass,62.0,3.0,00-0026143,00-0033106,Matt Ryan,Jared Goff,Dan Quinn,Sean McVay,Ed Hochuli,LAX99,Los Angeles Memorial Coliseum
2017_18_BUF_JAX,2017,WC,18,2018-01-07,Sunday,13:05,BUF,3.0,JAX,10.0,Home,7.0,13.0,0.0,2018010700,57492.0,,201801070jax,9299.0,400999176,,7,7,346.0,-400.0,8.5,-100.0,-110.0,39.5,-110.0,-100.0,0,outdoors,grass,53.0,18.0,00-0028118,00-0031407,Tyrod Taylor,Blake Bortles,Sean McDermott,Doug Marrone,John Hussey,JAX00,EverBank Field
2017_18_CAR_NO,2017,WC,18,2018-01-07,Sunday,16:40,CAR,26.0,NO,31.0,Home,5.0,57.0,0.0,2018010701,57493.0,,201801070nor,9300.0,400999177,,7,7,235.0,-265.0,6.5,-103.0,-107.0,47.5,-100.0,-110.0,1,dome,sportturf,,,00-0027939,00-0020531,Cam Newton,Drew Brees,Ron Rivera,Sean Payton,Tony Corrente,NOR00,Mercedes-Benz Superdome
2017_19_ATL_PHI,2017,DIV,19,2018-01-13,Saturday,16:35,ATL,10.0,PHI,15.0,Home,5.0,25.0,0.0,2018011300,57494.0,,201801130phi,9302.0,400999179,,7,13,-133.0,120.0,-2.5,-107.0,-103.0,40.0,-110.0,-100.0,0,outdoors,grass,32.0,16.0,00-0026143,00-0029567,Matt Ryan,Nick Foles,Dan Quinn,Doug Pederson,Bill Vinovich,PHI00,Lincoln Financial Field
2017_19_TEN_NE,2017,DIV,19,2018-01-13,Saturday,20:15,TEN,14.0,NE,35.0,Home,21.0,49.0,0.0,2018011301,57495.0,,201801130nwe,9303.0,400999178,,7,13,607.0,-790.0,13.5,-100.0,-110.0,48.0,-102.0,-108.0,0,outdoors,fieldturf,24.0,12.0,00-0032268,00-0019596,Marcus Mariota,Tom Brady,Mike Mularkey,Bill Belichick,Ron Torbert,BOS00,Gillette Stadium
2017_19_JAX_PIT,2017,DIV,19,2018-01-14,Sunday,13:05,JAX,45.0,PIT,42.0,Home,-3.0,87.0,0.0,2018011400,57496.0,,201801140pit,9304.0,400999181,,7,14,248.0,-280.0,7.0,-117.0,106.0,40.5,-107.0,-103.0,0,outdoors,grass,18.0,2.0,00-0031407,00-0022924,Blake Bortles,Ben Roethlisberger,Doug Marrone,Mike Tomlin,Brad Allen,PIT00,Heinz Field
2017_19_NO_MIN,2017,DIV,19,2018-01-14,Sunday,16:40,NO,24.0,MIN,29.0,Home,5.0,53.0,0.0,2018011401,57497.0,,201801140min,9305.0,400999180,,7,14,205.0,-230.0,5.5,-102.0,-108.0,47.0,-102.0,-108.0,0,dome,sportturf,,,00-0020531,00-0028986,Drew Brees,Case Keenum,Sean Payton,Mike Zimmer,Gene Steratore,MIN01,U.S. Bank Stadium
2017_20_JAX_NE,2017,CON,20,2018-01-21,Sunday,15:05,JAX,20.0,NE,24.0,Home,4.0,44.0,0.0,2018012100,57498.0,,201801210nwe,9306.0,400999172,,7,8,289.0,-330.0,7.5,-107.0,-103.0,46.0,102.0,-113.0,0,outdoors,fieldturf,48.0,3.0,00-0031407,00-0019596,Blake Bortles,Tom Brady,Doug Marrone,Bill Belichick,Clete Blakeman,BOS00,Gillette Stadium
2017_20_MIN_PHI,2017,CON,20,2018-01-21,Sunday,18:41,MIN,7.0,PHI,38.0,Home,31.0,45.0,0.0,2018012101,57499.0,,201801210phi,9307.0,400999174,,7,8,-147.0,133.0,-3.0,104.0,-115.0,39.0,-106.0,-104.0,0,outdoors,grass,47.0,5.0,00-0028986,00-0029567,Case Keenum,Nick Foles,Mike Zimmer,Doug Pederson,Ed Hochuli,PHI00,Lincoln Financial Field
2017_21_PHI_NE,2017,SB,21,2018-02-04,Sunday,18:31,PHI,41.0,NE,33.0,Neutral,-8.0,74.0,0.0,2018020400,57500.0,,201802040nwe,9312.0,400999173,,14,14,181.0,-202.0,4.5,-114.0,103.0,48.5,-105.0,-105.0,0,dome,sportturf,,,00-0029567,00-0019596,Nick Foles,Tom Brady,Doug Pederson,Bill Belichick,Gene Steratore,MIN01,U.S. Bank Stadium
