posteam,off_epa_mean,off_epa_sum,plays,success_rate,def_epa_allowed_mean,def_epa_allowed_sum,def_success_allowed,season,is_playoff
ARI,-0.3926,-21.9865,56,0.3571,0.0913,5.4785,0.3833,2021,True
BUF,0.5439,63.6346,117,0.5812,0.2564,35.1283,0.4672,2021,True
CIN,0.0025,0.6401,252,0.4087,-0.0248,-6.6296,0.4569,2021,True
DAL,-0.1663,-11.9726,72,0.3889,-0.0074,-0.4805,0.4462,2021,True
GB,-0.1263,-6.9444,55,0.3636,-0.2747,-14.833,0.3889,2021,True
KC,0.2043,42.8994,210,0.5429,0.1283,25.6568,0.455,2021,True
LA,0.0027,0.7514,274,0.4343,-0.1737,-41.1742,0.3586,2021,True
LV,0.047,3.57,76,0.4079,0.1042,6.253,0.4,2021,True
NE,0.1085,6.6173,61,0.3934,0.723,38.3171,0.6792,2021,True
PHI,-0.1153,-7.6118,66,0.3939,0.0725,5.2931,0.4932,2021,True
PIT,-0.0958,-6.4155,67,0.403,0.2132,13.8609,0.5385,2021,True
SF,-0.1051,-17.7641,169,0.3964,-0.0627,-12.5956,0.408,2021,True
TB,-0.0296,-4.2674,144,0.4306,-0.1206,-16.5163,0.4307,2021,True
TEN,-0.1619,-8.5831,53,0.434,-0.0824,-5.1912,0.3968,2021,True
