posteam,off_epa_mean,off_epa_sum,plays,success_rate,def_epa_allowed_mean,def_epa_allowed_sum,def_success_allowed,season,is_playoff
BAL,-0.2833,-16.4319,58,0.3103,-0.1417,-9.6332,0.4265,2018,True
CHI,0.029,1.8294,63,0.3968,0.0198,1.3079,0.4091,2018,True
DAL,0.0971,12.6202,130,0.4308,0.1364,17.5935,0.4651,2018,True
HOU,-0.1252,-8.7621,70,0.4571,0.1638,10.9779,0.4925,2018,True
IND,-0.0126,-1.5349,122,0.459,-0.0241,-3.6578,0.4539,2018,True
KC,0.13,17.2944,133,0.4436,0.0269,4.0681,0.4636,2018,True
LA,0.0282,5.7708,205,0.4488,0.0236,4.5244,0.4375,2018,True
LAC,0.0113,1.5431,137,0.4088,0.0216,2.9811,0.413,2018,True
NE,0.1477,36.3295,246,0.4837,0.0497,9.037,0.3901,2018,True
NO,0.0054,0.736,137,0.4161,-0.0093,-1.083,0.4274,2018,True
PHI,-0.0074,-0.8468,114,0.4123,0.0627,8.5295,0.4118,2018,True
SEA,-0.0261,-1.4351,55,0.3636,0.0343,2.4673,0.4306,2018,True
