game_id,season,week,home_team,away_team,game_time,home_score,away_score,point_differential,total_points,home_won,is_home,week_number,is_divisional,home_off_epa,home_def_epa,away_off_epa,away_def_epa,epa_differential,home_off_success_rate,away_off_success_rate,home_redzone_td_pct,away_redzone_td_pct,home_third_down_pct,away_third_down_pct,home_games_played,away_games_played,stadium,is_outdoor
2017_02_CHI_TB,2017,2,TB,CHI,2017-09-17T00:00:00,29,7,22,36,1,1,2,0,0.0,0.0,0.03782819211483002,0.19267189502716064,0.0,0.0,0.39759036898612976,0.0,1.0,0.0,0.4285714328289032,0,1,TB Stadium,1
2017_02_MIA_LAC,2017,2,LAC,MIA,2017-09-17T00:00:00,17,19,-2,36,0,1,2,0,-0.052963368594646454,-0.03218604996800423,0.0,0.0,0.0,0.4000000059604645,0.0,1.5,0.0,0.3076923191547394,0.0,1,0,LAC Stadium,1
2017_02_NYJ_OAK,2017,2,OAK,NYJ,2017-09-17T00:00:00,45,20,25,65,1,1,2,0,0.0,0.0,-0.12609870731830597,-0.02472594939172268,0.0,0.0,0.37142857909202576,0.0,1.2000000476837158,0.0,0.2857142984867096,0,1,OAK Stadium,1
2017_02_DAL_DEN,2017,2,DEN,DAL,2017-09-17T00:00:00,42,17,25,59,1,1,2,0,-0.03218604996800423,-0.052963368594646454,0.05290402099490166,-0.18020258843898773,-0.21232929080724716,0.43209877610206604,0.4712643623352051,0.7200000286102295,0.5,0.5333333611488342,0.5,1,1,DEN Stadium,1
2017_02_WAS_LA,2017,2,LA,WAS,2017-09-17T00:00:00,20,27,-7,47,0,1,2,0,0.12317197024822235,-0.40245476365089417,-0.21885272860527039,0.005768857430666685,0.7502483199350536,0.4545454680919647,0.37662336230278015,1.2000000476837158,0.0,0.29411765933036804,0.3333333432674408,1,1,LA Stadium,1
2017_02_SF_SEA,2017,2,SEA,SF,2017-09-17T00:00:00,12,9,3,21,1,1,2,1,-0.13784703612327576,-0.016028186306357384,-0.34172317385673523,0.00891255121678114,0.228816875256598,0.43939393758773804,0.35211268067359924,0.0,0.0,0.2857142984867096,0.2142857164144516,1,1,SEA Stadium,1
2017_02_GB_ATL,2017,2,ATL,GB,2017-09-17T00:00:00,34,23,11,57,1,1,2,0,0.19267189502716064,0.03782819211483002,-0.016028186306357384,-0.13784703612327576,0.033024853095412254,0.47887325286865234,0.4479166567325592,0.5454545617103577,2.0,0.5384615659713745,0.529411792755127,1,1,ATL Stadium,1
2017_02_DET_NYG,2017,2,NYG,DET,2017-09-18T00:00:00,10,24,-14,34,0,1,2,0,-0.18020258843898773,0.05290402099490166,-0.17645929753780365,-0.27670004963874817,-0.3333473615348339,0.375,0.3863636255264282,0.0,1.2000000476837158,0.38461539149284363,0.47058823704719543,1,1,NYG Stadium,1
2017_03_LA_SF,2017,3,SF,LA,2017-09-21T00:00:00,39,41,-2,80,0,1,3,1,-0.23598220944404602,-0.031109100207686424,0.05591798573732376,-0.12942743301391602,-0.3902185279875994,0.36231884360313416,0.43870967626571655,0.0,1.071428656578064,0.1785714328289032,0.32258063554763794,2,2,SF Stadium,1
2017_03_DEN_BUF,2017,3,BUF,DEN,2017-09-24T00:00:00,26,16,10,42,1,1,3,0,-0.10016236454248428,-0.10571900010108948,0.007801983505487442,-0.15446794033050537,-0.15671328827738762,0.34375,0.477011501789093,1.0,0.875,0.4193548262119293,0.5666666626930237,2,2,BUF Stadium,1
2017_03_NO_CAR,2017,3,CAR,NO,2017-09-24T00:00:00,13,34,-21,47,0,1,3,1,-0.0407060943543911,-0.2771100699901581,0.05035217106342316,0.21265840530395508,0.3987102098762989,0.4171779155731201,0.47560974955558777,0.25,0.529411792755127,0.4375,0.375,2,2,CAR Stadium,1
2017_03_PIT_CHI,2017,3,CHI,PIT,2017-09-24T00:00:00,23,17,6,40,1,1,3,0,-0.09308596700429916,0.13089075684547424,0.00012852702639065683,-0.14174969494342804,-0.3658549458195921,0.402515709400177,0.3895348906517029,0.75,0.6923076510429382,0.48275861144065857,0.3214285671710968,2,2,CHI Stadium,1
2017_03_ATL_DET,2017,3,DET,ATL,2017-09-24T00:00:00,26,30,-4,56,0,1,3,0,-0.12064515054225922,-0.2933812141418457,0.17783837020397186,0.03546040877699852,0.030358102172613144,0.38181817531585693,0.4897959232330322,1.04347825050354,1.04347825050354,0.44117647409439087,0.5,2,2,DET Stadium,0
2017_03_CLE_IND,2017,3,IND,CLE,2017-09-24T00:00:00,31,28,3,59,1,1,3,0,-0.2429773360490799,0.027865532785654068,-0.13825619220733643,-0.029963402077555656,-0.1625500787049532,0.34355828166007996,0.380952388048172,0.5,0.6315789222717285,0.2857142984867096,0.22580644488334656,2,2,IND Stadium,0
2017_03_TB_MIN,2017,3,MIN,TB,2017-09-24T00:00:00,34,17,17,51,1,1,3,0,0.0022781069856137037,0.06747472286224365,0.07867096364498138,-0.23605798184871674,-0.37992556137032807,0.39024388790130615,0.4523809552192688,1.04347825050354,0.6000000238418579,0.46666666865348816,0.6470588445663452,2,1,MIN Stadium,0
2017_03_HOU_NE,2017,3,NE,HOU,2017-09-24T00:00:00,36,33,3,69,1,1,3,0,0.1169198602437973,0.10425425320863724,-0.24441580474376678,-0.1300821453332901,0.12699926644563675,0.4715026021003723,0.3820224702358246,0.6428571939468384,0.3333333432674408,0.4193548262119293,0.4193548262119293,2,2,NE Stadium,1
2017_03_MIA_NYJ,2017,3,NYJ,MIA,2017-09-24T00:00:00,20,6,14,26,1,1,3,1,-0.018584420904517174,0.16368715465068817,0.09390948712825775,0.013974348083138466,-0.26220671460032463,0.4475524425506592,0.4197530746459961,1.0909091234207153,0.0,0.42307692766189575,0.38461539149284363,2,1,NYJ Stadium,1
2017_03_NYG_PHI,2017,3,PHI,NYG,2017-09-24T00:00:00,27,24,3,51,1,1,3,1,0.02556295320391655,-0.049791354686021805,-0.24712809920310974,0.0013696217210963368,0.32385202881414443,0.4399999976158142,0.3496503531932831,0.6923076510429382,0.4000000059604645,0.5517241358757019,0.3461538553237915,2,2,PHI Stadium,1
2017_03_SEA_TEN,2017,3,TEN,SEA,2017-09-24T00:00:00,33,27,6,60,1,1,3,0,0.11033785343170166,0.02840210124850273,-0.09358736127614975,-0.06037978455424309,0.11514332890510559,0.46706587076187134,0.3841463327407837,0.8275861740112305,0.27272728085517883,0.4642857015132904,0.34285715222358704,2,2,TEN Stadium,1
2017_03_CIN_GB,2017,3,GB,CIN,2017-09-24T00:00:00,27,24,3,51,1,1,3,0,0.008410776033997536,0.0236945953220129,-0.3193283677101135,-0.09836670756340027,0.2056778408586979,0.4684210419654846,0.3246753215789795,1.125,0.0,0.5,0.2666666805744171,2,2,GB Stadium,1
2017_03_KC_LAC,2017,3,LAC,KC,2017-09-24T00:00:00,10,24,-14,34,0,1,3,1,-0.01905413717031479,0.030861716717481613,0.174998477101326,0.023709889501333237,-0.20120444148778915,0.43421053886413574,0.4906832277774811,1.263157844543457,1.25,0.25,0.375,2,2,LAC Stadium,1
2017_03_OAK_WAS,2017,3,WAS,OAK,2017-09-24T00:00:00,27,10,17,37,1,1,3,0,-0.057420581579208374,-0.011062427423894405,0.0,0.0,0.0,0.42168673872947693,0.0,0.48000001907348633,0.0,0.36000001430511475,0.0,2,0,WAS Stadium,1
