posteam,off_epa_mean,off_epa_sum,plays,success_rate,def_epa_allowed_mean,def_epa_allowed_sum,def_success_allowed,season,is_playoff
ATL,0.0228,3.0043,132,0.4167,0.0315,4.031,0.4141,2017,True
BUF,-0.1865,-14.3632,77,0.3506,-0.1274,-7.2615,0.4035,2017,True
CAR,0.1328,9.8295,74,0.3784,0.1504,8.5747,0.5088,2017,True
JAX,0.0829,15.5791,188,0.4202,0.0176,3.8094,0.4167,2017,True
KC,0.0587,3.2895,56,0.4643,0.1924,12.5075,0.5385,2017,True
LA,-0.0232,-1.5322,66,0.3182,0.0748,5.233,0.4286,2017,True
MIN,-0.041,-5.9853,146,0.4178,0.1778,22.937,0.4961,2017,True
NE,0.235,49.8136,212,0.5,0.1451,30.324,0.4115,2017,True
NO,0.0855,10.6072,124,0.5,0.1026,15.6907,0.4183,2017,True
PHI,0.2779,54.7405,197,0.5025,0.0442,8.9342,0.4257,2017,True
PIT,0.1454,11.341,78,0.4615,0.3219,19.3168,0.4667,2017,True
TEN,0.0849,11.0349,130,0.4385,0.1736,23.2621,0.5149,2017,True
