team,season,week,off_epa_play,off_success_rate,off_yards_play,off_explosive_rate,off_pass_rate,def_epa_play,def_success_rate,def_yards_play,def_explosive_allowed,redzone_td_pct,third_down_pct,games_played,plays_run
PHI,2021,16,0.034400928765535355,0.46299341320991516,4.554817199707031,0.05098684210526316,0.37993421052631576,-0.041260287165641785,0.4322373569011688,3.9096827507019043,0.02967121090617482,0.8159999847412109,0.4427860677242279,15,1216
PHI,2021,17,0.03887335583567619,0.4613003134727478,4.549295902252197,0.05030959752321981,0.3784829721362229,-0.037694815546274185,0.4376417100429535,3.9210727214813232,0.02947845804988662,0.8307692408561707,0.43255814909935,16,1292
PHI,2021,18,0.03960643336176872,0.45770063996315,4.4802632331848145,0.049168474331164135,0.3810556760665221,-0.010782388970255852,0.4443652033805847,4.043384075164795,0.034236804564907276,0.8413283824920654,0.44206008315086365,17,1383
PHI,2021,19,0.03159739077091217,0.4545454680919647,4.471320152282715,0.04989747095010253,0.39166097060833904,-0.0031223937403410673,0.4483914077281952,4.03600549697876,0.03351206434316354,0.8509091138839722,0.43724697828292847,18,1463
PHI,2021,20,0.03159739077091217,0.4545454680919647,4.471320152282715,0.04989747095010253,0.39166097060833904,-0.0031223937403410673,0.4483914077281952,4.03600549697876,0.03351206434316354,0.8509091138839722,0.43724697828292847,18,1463
PHI,2021,21,0.03159739077091217,0.4545454680919647,4.471320152282715,0.04989747095010253,0.39166097060833904,-0.0031223937403410673,0.4483914077281952,4.03600549697876,0.03351206434316354,0.8509091138839722,0.43724697828292847,18,1463
PHI,2021,22,0.03159739077091217,0.4545454680919647,4.471320152282715,0.04989747095010253,0.39166097060833904,-0.0031223937403410673,0.4483914077281952,4.03600549697876,0.03351206434316354,0.8509091138839722,0.43724697828292847,18,1463
BUF,2021,1,-0.12413470447063446,0.40594059228897095,3.7100000381469727,0.019801980198019802,0.5346534653465347,-0.006184790283441544,0.40789473056793213,3.359999895095825,0.05263157894736842,0.375,0.4444444477558136,1,101
BUF,2021,2,-0.012848625890910625,0.4166666567325592,3.870056390762329,0.03333333333333333,0.4888888888888889,-0.2024604082107544,0.353658527135849,2.8888888359069824,0.024390243902439025,0.75,0.4838709533214569,2,180
BUF,2021,3,0.030382512137293816,0.4384058117866516,4.30258321762085,0.03985507246376811,0.48188405797101447,-0.19742771983146667,0.3504273593425751,3.2672414779663086,0.02564102564102564,0.7941176891326904,0.5208333134651184,3,276
BUF,2021,4,0.041763756424188614,0.47922438383102417,4.564971923828125,0.0443213296398892,0.45706371191135736,-0.28955140709877014,0.3254237174987793,2.9590444564819336,0.020338983050847456,0.75789475440979,0.49180328845977783,4,361
BUF,2021,5,0.06885536015033722,0.4746543765068054,4.8056206703186035,0.052995391705069124,0.4400921658986175,-0.23422694206237793,0.37064677476882935,3.179292917251587,0.01990049751243781,0.7706422209739685,0.47999998927116394,5,434
