posteam,off_epa_mean,off_epa_sum,plays,success_rate,def_epa_allowed_mean,def_epa_allowed_sum,def_success_allowed,season,is_playoff
ATL,0.2792,52.2022,187,0.5134,0.0844,18.6416,0.4661,2016,True
DAL,0.174,11.661,67,0.5522,0.3055,20.1615,0.5,2016,True
DET,-0.2088,-10.8555,52,0.3654,0.2258,15.8071,0.4714,2016,True
GB,0.1995,40.7068,204,0.4657,0.1647,33.1025,0.4826,2016,True
HOU,-0.2,-28.004,140,0.35,-0.1864,-25.9147,0.3381,2016,True
KC,-0.0443,-2.481,56,0.3929,0.0327,2.0596,0.4921,2016,True
LV,-0.3206,-23.4025,73,0.2877,-0.0793,-5.6292,0.3521,2016,True
MIA,-0.1977,-13.0488,66,0.3636,0.1687,9.2776,0.4727,2016,True
NE,0.1129,26.41,234,0.4701,-0.0949,-17.6507,0.4301,2016,True
NYG,-0.1261,-7.9451,63,0.381,0.1412,9.8839,0.4286,2016,True
PIT,0.0586,10.9665,187,0.4759,0.0121,2.3198,0.4241,2016,True
SEA,0.1025,12.7148,124,0.4435,0.0572,6.8652,0.4583,2016,True
