posteam,off_epa_mean,off_epa_sum,plays,success_rate,def_epa_allowed_mean,def_epa_allowed_sum,def_success_allowed,season,is_playoff
BAL,-0.1392,-12.948,93,0.4194,0.2231,11.3768,0.451,2019,True
BUF,-0.0248,-2.033,82,0.4146,-0.0426,-2.8118,0.4091,2019,True
GB,0.1781,21.5491,121,0.4793,0.2758,30.6192,0.5405,2019,True
HOU,-0.0146,-2.1379,146,0.4247,0.1787,25.0228,0.4571,2019,True
KC,0.3626,71.4277,197,0.5431,0.0742,14.5488,0.4439,2019,True
MIN,-0.1581,-19.4411,123,0.374,-0.0596,-7.2095,0.4876,2019,True
NE,-0.0921,-5.6175,61,0.3934,0.0331,2.0213,0.4426,2019,True
NO,-0.1189,-6.537,55,0.4545,-0.0064,-0.4911,0.4416,2019,True
PHI,-0.0578,-3.6969,64,0.3594,0.1997,11.3856,0.3684,2019,True
SEA,0.2084,24.3874,117,0.453,0.0905,11.2231,0.4032,2019,True
SF,0.1348,23.1812,172,0.5116,0.0322,5.7974,0.45,2019,True
TEN,0.1216,21.0367,173,0.4393,0.0349,7.6882,0.4636,2019,True
