game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
2022_19_SEA_SF,2022,WC,19,2023-01-14,Saturday,16:30,SEA,23.0,SF,41.0,Home,18.0,64.0,0.0,2023011400,59159.0,,202301140sfo,,401438000,6151.0,6,6,367.0,-447.0,10.0,-123.0,112.0,42.0,-102.0,-110.0,1,outdoors,grass,57.0,11.0,00-0030565,00-0037834,Geno Smith,Brock Purdy,Pete Carroll,Kyle Shanahan,Alex Kemp,SFO01,Levi's Stadium
2022_19_LAC_JAX,2022,WC,19,2023-01-14,Saturday,20:15,LAC,30.0,JAX,31.0,Home,1.0,61.0,0.0,2023011401,59160.0,,202301140jax,,401437998,6152.0,6,7,-126.0,114.0,-2.0,-102.0,-108.0,46.5,-105.0,-107.0,0,outdoors,grass,37.0,4.0,00-0036355,00-0036971,Justin Herbert,Trevor Lawrence,Brandon Staley,Doug Pederson,Shawn Smith,JAX00,TIAA Bank Stadium
2022_19_MIA_BUF,2022,WC,19,2023-01-15,Sunday,13:00,MIA,31.0,BUF,34.0,Home,3.0,65.0,0.0,2023011500,59161.0,,202301150buf,,401438002,6153.0,7,7,649.0,-882.0,14.0,-116.0,105.0,44.0,-105.0,-107.0,1,outdoors,a_turf,27.0,4.0,00-0037327,00-0034857,Skylar Thompson,Josh Allen,Mike McDaniel,Sean McDermott,Brad Allen,BUF00,New Era Field
2022_19_NYG_MIN,2022,WC,19,2023-01-15,Sunday,16:50,NYG,31.0,MIN,24.0,Home,-7.0,55.0,0.0,2023011501,59162.0,,202301150min,,401438001,6154.0,7,7,129.0,-142.0,2.5,103.0,-113.0,48.0,-104.0,-108.0,0,dome,sportturf,,,00-0035710,00-0029604,Daniel Jones,Kirk Cousins,Brian Daboll,Kevin O'Connell,Adrian Hill,MIN01,U.S. Bank Stadium
2022_19_BAL_CIN,2022,WC,19,2023-01-15,Sunday,20:15,BAL,17.0,CIN,24.0,Home,7.0,41.0,0.0,2023011502,59163.0,,202301150cin,,401437999,6155.0,7,7,311.0,-370.0,7.5,-104.0,-106.0,40.0,-104.0,-108.0,1,outdoors,fieldturf,30.0,4.0,00-0035993,00-0036442,Tyler Huntley,Joe Burrow,John Harbaugh,Zac Taylor,Clay Martin,CIN00,Paycor Stadium
2022_19_DAL_TB,2022,WC,19,2023-01-16,Monday,20:15,DAL,31.0,TB,14.0,Home,-17.0,45.0,0.0,2023011600,59164.0,,202301160tam,,401438003,6156.0,8,8,-135.0,122.0,-2.5,-108.0,-103.0,45.5,-105.0,-107.0,0,outdoors,grass,58.0,2.0,00-0033077,00-0019596,Dak Prescott,Tom Brady,Mike McCarthy,Todd Bowles,Craig Wrolstad,TAM00,Raymond James Stadium
2022_20_JAX_KC,2022,DIV,20,2023-01-21,Saturday,16:30,JAX,20.0,KC,27.0,Home,7.0,47.0,0.0,2023012100,59165.0,,202301210kan,,401438005,6157.0,7,14,377.0,-461.0,10.0,-119.0,108.0,52.5,-116.0,103.0,0,outdoors,grass,36.0,6.0,00-0036971,00-0033873,Trevor Lawrence,Patrick Mahomes,Doug Pederson,Andy Reid,Shawn Hochuli,KAN00,GEHA Field at Arrowhead Stadium
2022_20_NYG_PHI,2022,DIV,20,2023-01-21,Saturday,20:15,NYG,7.0,PHI,38.0,Home,31.0,45.0,0.0,2023012101,59166.0,,202301210phi,,401438004,6158.0,6,13,304.0,-360.0,8.0,101.0,-111.0,48.0,-113.0,101.0,1,outdoors,grass,40.0,6.0,00-0035710,00-0036389,Daniel Jones,Jalen Hurts,Brian Daboll,Nick Sirianni,Clete Blakeman,PHI00,Lincoln Financial Field
2022_20_CIN_BUF,2022,DIV,20,2023-01-22,Sunday,15:00,CIN,27.0,BUF,10.0,Home,-17.0,37.0,0.0,2023012200,59167.0,,202301220buf,,401438007,6159.0,7,7,226.0,-259.0,6.0,-107.0,-103.0,48.5,-107.0,-105.0,0,outdoors,a_turf,32.0,4.0,00-0036442,00-0034857,Joe Burrow,Josh Allen,Zac Taylor,Sean McDermott,Carl Cheffers,BUF00,New Era Field
2022_20_DAL_SF,2022,DIV,20,2023-01-22,Sunday,18:30,DAL,12.0,SF,19.0,Home,7.0,31.0,0.0,2023012201,59168.0,,202301220sfo,,401438006,6160.0,6,8,164.0,-183.0,3.5,-107.0,-103.0,46.5,-105.0,-107.0,0,outdoors,grass,55.0,19.0,00-0033077,00-0037834,Dak Prescott,Brock Purdy,Mike McCarthy,Kyle Shanahan,Bill Vinovich,SFO01,Levi's Stadium
