team,season,week,off_epa_play,off_success_rate,off_yards_play,off_explosive_rate,off_pass_rate,def_epa_play,def_success_rate,def_yards_play,def_explosive_allowed,redzone_td_pct,third_down_pct,games_played,plays_run
NO,2015,13,-0.007912324741482735,0.41581395268440247,4.4886579513549805,0.053023255813953486,0.4874418604651163,0.08646349608898163,0.4676952660083771,4.969814777374268,0.05978784956605593,0.9629629850387573,0.4457142949104309,12,1075
NO,2015,14,0.0031796572729945183,0.4127659499645233,4.443771839141846,0.05191489361702128,0.4825531914893617,0.08314035087823868,0.4683544337749481,4.922445297241211,0.05877034358047016,0.961326003074646,0.47179487347602844,13,1175
NO,2015,15,0.006039777770638466,0.41542091965675354,4.425259590148926,0.05114083398898505,0.4878048780487805,0.09090977907180786,0.4804421663284302,4.970815658569336,0.06037414965986394,0.9207920432090759,0.46190476417541504,14,1271
NO,2015,16,0.020724190399050713,0.4206291139125824,4.511887073516846,0.05267008046817849,0.47988295537673736,0.09433765709400177,0.47833067178726196,5.028363227844238,0.060995184590690206,0.931506872177124,0.4708520174026489,15,1367
NO,2015,17,0.027431774884462357,0.4262975752353668,4.538623809814453,0.05397923875432526,0.48373702422145326,0.09241228550672531,0.48075470328330994,5.0488176345825195,0.06113207547169811,0.9037657380104065,0.4788135588169098,16,1445
NO,2015,18,0.027431774884462357,0.4262975752353668,4.538623809814453,0.05397923875432526,0.48373702422145326,0.09241228550672531,0.48075470328330994,5.0488176345825195,0.06113207547169811,0.9037657380104065,0.4788135588169098,16,1445
NO,2015,19,0.027431774884462357,0.4262975752353668,4.538623809814453,0.05397923875432526,0.48373702422145326,0.09241228550672531,0.48075470328330994,5.0488176345825195,0.06113207547169811,0.9037657380104065,0.4788135588169098,16,1445
NO,2015,20,0.027431774884462357,0.4262975752353668,4.538623809814453,0.05397923875432526,0.48373702422145326,0.09241228550672531,0.48075470328330994,5.0488176345825195,0.06113207547169811,0.9037657380104065,0.4788135588169098,16,1445
NO,2015,21,0.027431774884462357,0.4262975752353668,4.538623809814453,0.05397923875432526,0.48373702422145326,0.09241228550672531,0.48075470328330994,5.0488176345825195,0.06113207547169811,0.9037657380104065,0.4788135588169098,16,1445
DAL,2015,1,0.014710859395563602,0.5517241358757019,5.129411697387695,0.034482758620689655,0.5172413793103449,0.04665471240878105,0.39743590354919434,3.653846263885498,0.01282051282051282,0.8181818127632141,0.6153846383094788,1,87
DAL,2015,2,-0.038323089480400085,0.47311827540397644,4.34426212310791,0.026881720430107527,0.44086021505376344,-0.11137405037879944,0.41558441519737244,3.361842155456543,0.01948051948051948,0.5,0.48275861144065857,2,186
DAL,2015,3,-0.004188575781881809,0.48627451062202454,4.549800872802734,0.0392156862745098,0.43137254901960786,0.014467321336269379,0.47325101494789124,3.9625000953674316,0.02880658436213992,0.800000011920929,0.4444444477558136,3,255
DAL,2015,4,0.01858290284872055,0.45783132314682007,4.530674934387207,0.04216867469879518,0.4186746987951807,0.04082990437746048,0.46084338426589966,4.221884727478027,0.03313253012048193,0.800000011920929,0.41999998688697815,4,332
DAL,2015,5,-0.032895009964704514,0.4418052136898041,4.207729339599609,0.035629453681710214,0.42992874109263657,0.05489259213209152,0.47174447774887085,4.340795993804932,0.03931203931203931,0.6857142448425293,0.3913043439388275,5,421
DAL,2015,6,-0.032895009964704514,0.4418052136898041,4.207729339599609,0.035629453681710214,0.42992874109263657,0.05489259213209152,0.47174447774887085,4.340795993804932,0.03931203931203931,0.6857142448425293,0.3913043439388275,5,421
DAL,2015,7,-0.018910547718405724,0.4559686779975891,4.386454105377197,0.0410958904109589,0.4090019569471624,0.066194549202919,0.4673684239387512,4.327659606933594,0.042105263157894736,0.6835442781448364,0.4124999940395355,6,511
DAL,2015,8,-0.024996167048811913,0.4444444477558136,4.212173938751221,0.037606837606837605,0.40341880341880343,0.05083795264363289,0.4692029058933258,4.316849708557129,0.03804347826086957,0.6279069781303406,0.39361703395843506,7,585
DAL,2015,9,-0.008066686801612377,0.45521292090415955,4.234678745269775,0.03671071953010279,0.40822320117474303,0.0725916177034378,0.4645061790943146,4.386292934417725,0.044753086419753084,0.7272727489471436,0.4234234094619751,8,681
DAL,2015,10,-0.015885988250374794,0.4518716633319855,4.14266300201416,0.03609625668449198,0.41310160427807485,0.05816176161170006,0.4571428596973419,4.3273725509643555,0.044897959183673466,0.7058823704719543,0.40799999237060547,9,748
DAL,2015,11,-0.01073441468179226,0.4429771900177002,4.189024448394775,0.03601440576230492,0.4069627851140456,0.03994496539235115,0.44680851697921753,4.248101234436035,0.04630788485607009,0.678260862827301,0.41843971610069275,10,833
DAL,2015,12,-0.031241044402122498,0.435982346534729,4.088564872741699,0.03532008830022075,0.4205298013245033,0.041158150881528854,0.4520856738090515,4.1619157791137695,0.046223224351747465,0.6666666865348816,0.4193548262119293,11,906
DAL,2015,13,-0.030840113759040833,0.443309485912323,4.108808517456055,0.03677221654749745,0.4198161389172625,0.029492389410734177,0.4485596716403961,4.079166889190674,0.04526748971193416,0.6474820375442505,0.40963855385780334,12,979
DAL,2015,14,-0.041414421051740646,0.43320611119270325,4.103682041168213,0.03721374045801527,0.4217557251908397,0.03523554280400276,0.45200371742248535,4.100848197937012,0.04380242311276794,0.6620689630508423,0.38983049988746643,13,1048
DAL,2015,15,-0.05019531026482582,0.4331550896167755,4.115942001342773,0.0374331550802139,0.42513368983957217,0.025942184031009674,0.44750431180000305,4.106956481933594,0.04388984509466437,0.6538461446762085,0.3776595890522003,14,1122
DAL,2015,16,-0.059835873544216156,0.4266666769981384,4.121495246887207,0.03916666666666667,0.42333333333333334,0.020230162888765335,0.4449838101863861,4.191993236541748,0.04611650485436893,0.637499988079071,0.3842364549636841,15,1200
DAL,2015,17,-0.05643899738788605,0.432348370552063,4.249603748321533,0.04432348367029549,0.4354587869362364,0.03196175396442413,0.4449506402015686,4.2699384689331055,0.04859529233105543,0.6857143044471741,0.3755868673324585,16,1286
DAL,2015,18,-0.05643899738788605,0.432348370552063,4.249603748321533,0.04432348367029549,0.4354587869362364,0.03196175396442413,0.4449506402015686,4.2699384689331055,0.04859529233105543,0.6857143044471741,0.3755868673324585,16,1286
DAL,2015,19,-0.05643899738788605,0.432348370552063,4.249603748321533,0.04432348367029549,0.4354587869362364,0.03196175396442413,0.4449506402015686,4.2699384689331055,0.04859529233105543,0.6857143044471741,0.3755868673324585,16,1286
DAL,2015,20,-0.05643899738788605,0.432348370552063,4.249603748321533,0.04432348367029549,0.4354587869362364,0.03196175396442413,0.4449506402015686,4.2699384689331055,0.04859529233105543,0.6857143044471741,0.3755868673324585,16,1286
DAL,2015,21,-0.05643899738788605,0.432348370552063,4.249603748321533,0.04432348367029549,0.4354587869362364,0.03196175396442413,0.4449506402015686,4.2699384689331055,0.04859529233105543,0.6857143044471741,0.3755868673324585,16,1286
NYG,2015,1,0.04665471240878105,0.39743590354919434,3.653846263885498,0.01282051282051282,0.47435897435897434,0.014710859395563602,0.5517241358757019,5.129411697387695,0.034482758620689655,0.375,0.4285714328289032,1,78
