team,season,week,off_epa_play,def_epa_play,off_success_rate,def_success_rate,games_played,redzone_td_pct,third_down_pct
PHI,2024,17,0.08535851538181305,-0.056494250893592834,0.47548291087150574,0.4483037292957306,16,0.9375,0.4177215189873418
PHI,2024,18,0.08007820695638657,-0.05787912383675575,0.47342658042907715,0.44716691970825195,17,0.9411764705882353,0.4103585657370518
IND,2024,1,0.09467652440071106,0.12762077152729034,0.5423728823661804,0.5104166865348816,1,1.0,0.45454545454545453
IND,2024,2,-0.009182695299386978,0.06888042390346527,0.5,0.4581005573272705,2,1.0,0.3333333333333333
IND,2024,3,-0.05047909915447235,-0.0020343121141195297,0.4650000035762787,0.434628963470459,3,1.0,0.30303030303030304
IND,2024,4,-0.028634188696742058,-0.005840845871716738,0.46289753913879395,0.4538043439388275,4,1.0,0.375
IND,2024,5,0.02093561366200447,0.0353836752474308,0.47200000286102295,0.46621620655059814,5,1.0,0.4032258064516129
IND,2024,6,0.02142324484884739,0.025891300290822983,0.46405228972435,0.45769229531288147,6,1.0,0.43037974683544306
IND,2024,7,-0.0049346135929226875,-0.009491851553320885,0.45269015431404114,0.4561983346939087,7,1.0,0.41304347826086957
IND,2024,8,-0.0088147958740592,-0.010611222125589848,0.43910256028175354,0.4554597735404968,8,1.0,0.38095238095238093
IND,2024,9,-0.03568979725241661,-0.02399502694606781,0.4343434274196625,0.4622279107570648,9,0.8888888888888888,0.3706896551724138
IND,2024,10,-0.04905557632446289,-0.019866807386279106,0.4385510981082916,0.46444955468177795,10,0.9,0.36923076923076925
IND,2024,11,-0.03967100381851196,-0.01894424483180046,0.4365541338920593,0.46341463923454285,11,0.9090909090909091,0.3724137931034483
IND,2024,12,-0.04955984652042389,-0.0076426127925515175,0.43103447556495667,0.4684772193431854,12,0.8333333333333334,0.36075949367088606
IND,2024,13,-0.03720976412296295,-0.00030864181462675333,0.4411177635192871,0.4722222089767456,13,0.8461538461538461,0.3684210526315789
IND,2024,14,-0.03720976412296295,-0.00030864181462675333,0.4411177635192871,0.4722222089767456,13,0.8461538461538461,0.3684210526315789
IND,2024,15,-0.06620395928621292,-0.013327843509614468,0.4341864585876465,0.4670008420944214,14,0.7857142857142857,0.3602150537634409
IND,2024,16,-0.05188191682100296,-0.009631456807255745,0.4401019513607025,0.4693877696990967,15,0.8,0.3712871287128713
IND,2024,17,-0.042497992515563965,0.0054787034168839455,0.44767898321151733,0.4696296155452728,16,0.8125,0.3813953488372093
IND,2024,18,-0.03593777120113373,0.008620035834610462,0.45474451780319214,0.4697706699371338,17,0.8235294117647058,0.3782608695652174
HOU,2024,1,0.12762077152729034,0.09467652440071106,0.5104166865348816,0.5423728823661804,1,1.0,0.4444444444444444
HOU,2024,2,0.04057693853974342,-0.040956608951091766,0.45505619049072266,0.4563758373260498,2,0.5,0.35294117647058826
HOU,2024,3,-0.05796269327402115,0.014789685606956482,0.4166666567325592,0.46929824352264404,3,0.6666666666666666,0.2962962962962963
HOU,2024,4,-0.017887098714709282,0.039647508412599564,0.4338028132915497,0.46710526943206787,4,0.75,0.35294117647058826
HOU,2024,5,-0.019631726667284966,0.02583780512213707,0.4350797235965729,0.4455958604812622,5,0.8,0.3764705882352941
HOU,2024,6,0.0018943509785458446,-0.019199442118406296,0.4359464645385742,0.44703391194343567,6,0.8333333333333334,0.38
HOU,2024,7,0.006905896123498678,-0.01241374108940363,0.44186046719551086,0.45155394077301025,7,0.8571428571428571,0.3652173913043478
