game_id,season,week,home_team,away_team,game_time,home_score,away_score,point_differential,total_points,home_won,is_home,week_number,is_divisional,home_off_epa,home_def_epa,away_off_epa,away_def_epa,epa_differential,home_off_success_rate,away_off_success_rate,home_redzone_td_pct,away_redzone_td_pct,home_third_down_pct,away_third_down_pct,home_games_played,away_games_played,stadium,is_outdoor
2024_01_BAL_KC,2024,1,KC,BAL,2024-09-05,27.0,20.0,7.0,47.0,1,1,1,0,0.12418383359909058,0.020795855671167374,0.020795855671167374,0.12418383359909058,0.2067759558558464,0.4714285731315613,0.557894766330719,1.0,1.0,0.4,0.4375,1,1,KC Stadium,1
2024_01_GB_PHI,2024,1,PHI,GB,2024-09-06,34.0,29.0,5.0,63.0,1,1,1,0,0.10358545184135437,0.09159693866968155,0.09159693866968155,0.10358545184135437,0.023977026343345642,0.5263158082962036,0.47058823704719543,1.0,1.0,0.35714285714285715,0.35714285714285715,1,1,PHI Stadium,1
2024_01_PIT_ATL,2024,1,ATL,PIT,2024-09-08,10.0,18.0,-8.0,28.0,0,1,1,0,-0.24301089346408844,-0.04055573046207428,-0.04055573046207428,-0.24301089346408844,-0.4049103260040283,0.47826087474823,0.4285714328289032,1.0,0.0,0.2727272727272727,0.42105263157894735,1,1,ATL Stadium,1
2024_01_ARI_BUF,2024,1,BUF,ARI,2024-09-08,34.0,28.0,6.0,62.0,1,1,1,0,0.19135740399360657,0.14116284251213074,0.14116284251213074,0.19135740399360657,0.10038912296295166,0.612500011920929,0.44736841320991516,1.0,1.0,0.25,0.6153846153846154,1,1,BUF Stadium,1
2024_01_TEN_CHI,2024,1,CHI,TEN,2024-09-08,24.0,17.0,7.0,41.0,1,1,1,0,-0.20120009779930115,-0.27828294038772583,-0.27828294038772583,-0.20120009779930115,0.15416568517684937,0.41333332657814026,0.39759036898612976,0.0,1.0,0.13333333333333333,0.26666666666666666,1,1,CHI Stadium,1
2024_01_NE_CIN,2024,1,CIN,NE,2024-09-08,10.0,16.0,-6.0,26.0,0,1,1,0,-0.03840472176671028,0.07777721434831619,0.07777721434831619,-0.03840472176671028,-0.23236387223005295,0.49180328845977783,0.4938271641731262,1.0,1.0,0.3076923076923077,0.4,1,1,CIN Stadium,1
2024_01_HOU_IND,2024,1,IND,HOU,2024-09-08,27.0,29.0,-2.0,56.0,0,1,1,1,0.09467652440071106,0.12762077152729034,0.12762077152729034,0.09467652440071106,-0.06588849425315857,0.5423728823661804,0.5104166865348816,1.0,1.0,0.45454545454545453,0.4444444444444444,1,1,IND Stadium,1
2024_01_JAX_MIA,2024,1,MIA,JAX,2024-09-08,20.0,17.0,3.0,37.0,1,1,1,0,-0.006285218521952629,-0.04175207391381264,-0.04175207391381264,-0.006285218521952629,0.07093371078372002,0.43529412150382996,0.4305555522441864,1.0,1.0,0.4444444444444444,0.16666666666666666,1,1,MIA Stadium,1
2024_01_CAR_NO,2024,1,NO,CAR,2024-09-08,47.0,10.0,37.0,57.0,1,1,1,1,0.19670653343200684,-0.37482163310050964,-0.37482163310050964,0.19670653343200684,1.143056333065033,0.4938271641731262,0.38461539149284363,1.0,1.0,0.5714285714285714,0.15384615384615385,1,1,NO Stadium,1
2024_01_MIN_NYG,2024,1,NYG,MIN,2024-09-08,6.0,28.0,-22.0,34.0,0,1,1,0,-0.23459869623184204,0.09439460188150406,0.09439460188150406,-0.23459869623184204,-0.6579865962266922,0.3820224702358246,0.46268656849861145,0.0,1.0,0.4,0.45454545454545453,1,1,NYG Stadium,1
2024_01_LV_LAC,2024,1,LAC,LV,2024-09-08,22.0,10.0,12.0,32.0,1,1,1,1,-0.12475147843360901,-0.3124944567680359,-0.3124944567680359,-0.12475147843360901,0.37548595666885376,0.3636363744735718,0.3918918967247009,1.0,0.0,0.25,0.3333333333333333,1,1,LAC Stadium,1
2024_01_DEN_SEA,2024,1,SEA,DEN,2024-09-08,26.0,20.0,6.0,46.0,1,1,1,0,-0.04761457443237305,-0.13299542665481567,-0.13299542665481567,-0.04761457443237305,0.17076170444488525,0.47058823704719543,0.37634408473968506,0.0,1.0,0.3076923076923077,0.2631578947368421,1,1,SEA Stadium,1
2024_01_DAL_CLE,2024,1,CLE,DAL,2024-09-08,17.0,33.0,-16.0,50.0,0,1,1,0,-0.2442834973335266,-0.03779791668057442,-0.03779791668057442,-0.2442834973335266,-0.4129711613059044,0.29591837525367737,0.4166666567325592,1.0,1.0,0.125,0.26666666666666666,1,1,CLE Stadium,1
2024_01_WAS_TB,2024,1,TB,WAS,2024-09-08,37.0,20.0,17.0,57.0,1,1,1,0,0.27295204997062683,0.051665157079696655,0.051665157079696655,0.27295204997062683,0.44257378578186035,0.5555555820465088,0.5,1.0,1.0,0.6470588235294118,0.3,1,1,TB Stadium,1
2024_01_LA_DET,2024,1,DET,LA,2024-09-08,26.0,20.0,6.0,46.0,1,1,1,0,0.09335210174322128,0.05288204550743103,0.05288204550743103,0.09335210174322128,0.0809401124715805,0.5512820482254028,0.49462366104125977,1.0,1.0,0.46153846153846156,0.42857142857142855,1,1,DET Stadium,1
2024_01_NYJ_SF,2024,1,SF,NYJ,2024-09-09,32.0,19.0,13.0,51.0,1,1,1,0,0.17390163242816925,-0.002621665596961975,-0.002621665596961975,0.17390163242816925,0.35304659605026245,0.5,0.484375,1.0,1.0,0.5,0.6,1,1,SF Stadium,1
