game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,game_time,is_outdoor
2025_01_DAL_PHI,2025,REG,1,2025-09-04,Thursday,20:20,DAL,20.0,PHI,24.0,Home,4.0,44.0,0.0,2025090400,59843.0,,202509040phi,28418.0,401772510,6734.0,7,7,330.0,-425.0,8.5,-110.0,-110.0,47.5,-110.0,-110.0,1,outdoors,grass,75.0,11.0,00-0033077,00-0036389,Dak Prescott,Jalen Hurts,Brian Schottenheimer,Nick Sirianni,Shawn Smith,PHI00,PHI Stadium,2025-09-04,1
2025_01_KC_LAC,2025,REG,1,2025-09-05,Friday,20:00,KC,21.0,LAC,27.0,Neutral,6.0,48.0,0.0,2025090500,59844.0,,202509050sdg,28419.0,401772714,6735.0,7,7,-175.0,145.0,-3.0,-120.0,100.0,47.5,-110.0,-110.0,1,dome,,,,00-0033873,00-0036355,Patrick Mahomes,Justin Herbert,Andy Reid,Jim Harbaugh,Carl Cheffers,LAX01,LAC Stadium,2025-09-05,1
2025_01_TB_ATL,2025,REG,1,2025-09-07,Sunday,13:00,TB,23.0,ATL,20.0,Home,-3.0,43.0,0.0,2025090700,59845.0,,202509070atl,28420.0,401772830,6736.0,7,7,-115.0,-105.0,-1.5,-102.0,-118.0,47.5,-105.0,-115.0,1,closed,fieldturf,,,00-0034855,00-0039917,Baker Mayfield,Michael Penix,Todd Bowles,Raheem Morris,Land Clark,ATL97,ATL Stadium,2025-09-07,1
2025_01_CIN_CLE,2025,REG,1,2025-09-07,Sunday,13:00,CIN,17.0,CLE,16.0,Home,-1.0,33.0,0.0,2025090701,59846.0,,202509070cle,28421.0,401772829,6737.0,7,7,-238.0,195.0,-5.5,-105.0,-115.0,47.5,100.0,-120.0,1,outdoors,grass,63.0,10.0,00-0036442,00-0026158,Joe Burrow,Joe Flacco,Zac Taylor,Kevin Stefanski,Adrian Hill,CLE00,CLE Stadium,2025-09-07,1
2025_01_MIA_IND,2025,REG,1,2025-09-07,Sunday,13:00,MIA,8.0,IND,33.0,Home,25.0,41.0,0.0,2025090702,59847.0,,202509070clt,28422.0,401772719,6738.0,7,7,-108.0,-112.0,1.5,-118.0,-102.0,47.5,-120.0,100.0,0,closed,fieldturf,,,00-0036212,00-0035710,Tua Tagovailoa,Daniel Jones,Mike McDaniel,Shane Steichen,Brad Allen,IND00,IND Stadium,2025-09-07,1
2025_01_CAR_JAX,2025,REG,1,2025-09-07,Sunday,13:00,CAR,10.0,JAX,26.0,Home,16.0,36.0,0.0,2025090703,59848.0,,202509070jax,28423.0,401772828,6739.0,7,7,170.0,-205.0,4.5,-110.0,-110.0,45.5,-108.0,-112.0,0,outdoors,grass,85.0,3.0,00-0039150,00-0036971,Bryce Young,Trevor Lawrence,Dave Canales,Liam Coen,Alex Moore,JAX00,JAX Stadium,2025-09-07,1
2025_01_LV_NE,2025,REG,1,2025-09-07,Sunday,13:00,LV,20.0,NE,13.0,Home,-7.0,33.0,0.0,2025090704,59849.0,,202509070nwe,28424.0,401772720,6740.0,7,7,130.0,-155.0,2.5,100.0,-120.0,44.5,-115.0,-105.0,0,outdoors,fieldturf,62.0,4.0,00-0030565,00-0039851,Geno Smith,Drake Maye,Pete Carroll,Mike Vrabel,Ron Torbert,BOS00,NE Stadium,2025-09-07,1
2025_01_ARI_NO,2025,REG,1,2025-09-07,Sunday,13:00,ARI,20.0,NO,13.0,Home,-7.0,33.0,0.0,2025090705,59850.0,,202509070nor,28425.0,401772718,6741.0,7,7,-270.0,220.0,-6.0,-108.0,-112.0,44.5,-112.0,-108.0,0,dome,sportturf,,,00-0035228,00-0039376,Kyler Murray,Spencer Rattler,Jonathan Gannon,Kellen Moore,Scott Novak,NOR00,NO Stadium,2025-09-07,1
2025_01_PIT_NYJ,2025,REG,1,2025-09-07,Sunday,13:00,PIT,34.0,NYJ,32.0,Home,-2.0,66.0,0.0,2025090706,59851.0,,202509070nyj,28426.0,401772721,6742.0,7,7,-155.0,130.0,-3.0,-110.0,-110.0,37.5,-108.0,-112.0,0,outdoors,fieldturf,67.0,3.0,00-0023459,00-0036945,Aaron Rodgers,Justin Fields,Mike Tomlin,Aaron Glenn,Bill Vinovich,NYC01,NYJ Stadium,2025-09-07,1
2025_01_NYG_WAS,2025,REG,1,2025-09-07,Sunday,13:00,NYG,6.0,WAS,21.0,Home,15.0,27.0,0.0,2025090707,59852.0,,202509070was,28427.0,401772827,6743.0,7,7,240.0,-298.0,6.0,-108.0,-112.0,45.5,-110.0,-110.0,1,outdoors,grass,68.0,5.0,00-0029263,00-0039910,Russell Wilson,Jayden Daniels,Brian Daboll,Dan Quinn,Clay Martin,WAS00,WAS Stadium,2025-09-07,1
