game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
2019_18_BUF_HOU,2019,WC,18,2020-01-04,Saturday,16:35,BUF,19.0,HOU,22.0,Home,3.0,41.0,1.0,2020010400,58156.0,,202001040htx,16801.0,401131037,5314.0,6,6,130.0,-144.0,2.5,103.0,-114.0,43.0,-106.0,-105.0,0,closed,grass,,,00-0034857,00-0033537,Josh Allen,Deshaun Watson,Sean McDermott,Bill O'Brien,Tony Corrente,HOU00,NRG Stadium
2019_18_TEN_NE,2019,WC,18,2020-01-04,Saturday,20:15,TEN,20.0,NE,13.0,Home,-7.0,33.0,0.0,2020010401,58157.0,,202001040nwe,16802.0,401131036,5315.0,6,6,190.0,-214.0,4.5,-101.0,-109.0,45.0,-106.0,-105.0,0,outdoors,grass,44.0,4.0,00-0029701,00-0019596,Ryan Tannehill,Tom Brady,Mike Vrabel,Bill Belichick,John Hussey,BOS00,Gillette Stadium
2019_18_MIN_NO,2019,WC,18,2020-01-05,Sunday,13:05,MIN,26.0,NO,20.0,Home,-6.0,46.0,1.0,2020010500,58158.0,,202001050nor,16803.0,401131038,5316.0,7,7,300.0,-355.0,7.5,-115.0,104.0,50.0,-111.0,-100.0,0,dome,astroturf,,,00-0029604,00-0020531,Kirk Cousins,Drew Brees,Mike Zimmer,Sean Payton,Carl Cheffers,NOR00,Mercedes-Benz Superdome
2019_18_SEA_PHI,2019,WC,18,2020-01-05,Sunday,16:40,SEA,17.0,PHI,9.0,Home,-8.0,26.0,0.0,2020010501,58159.0,,202001050phi,16804.0,401131039,5317.0,7,7,108.0,-119.0,1.0,-100.0,-110.0,44.0,-106.0,-105.0,0,outdoors,grass,41.0,17.0,00-0029263,00-0032950,Russell Wilson,Carson Wentz,Pete Carroll,Doug Pederson,Shawn Smith,PHI00,Lincoln Financial Field
2019_19_MIN_SF,2019,DIV,19,2020-01-11,Saturday,16:35,MIN,10.0,SF,27.0,Home,17.0,37.0,0.0,2020011100,58160.0,,202001110sfo,16807.0,401131040,5318.0,6,13,276.0,-323.0,7.0,-100.0,-110.0,44.5,-105.0,-106.0,0,outdoors,grass,56.0,11.0,00-0029604,00-0031345,Kirk Cousins,Jimmy Garoppolo,Mike Zimmer,Kyle Shanahan,Walt Anderson,SFO01,Levi's Stadium
2019_19_TEN_BAL,2019,DIV,19,2020-01-11,Saturday,20:15,TEN,28.0,BAL,12.0,Home,-16.0,40.0,0.0,2020011101,58161.0,,202001110rav,16805.0,401131041,5319.0,7,13,361.0,-439.0,10.0,-107.0,-103.0,47.5,-101.0,-110.0,0,outdoors,grass,69.0,12.0,00-0029701,00-0034796,Ryan Tannehill,Lamar Jackson,Mike Vrabel,John Harbaugh,Bill Vinovich,BAL00,M&T Bank Stadium
2019_19_HOU_KC,2019,DIV,19,2020-01-12,Sunday,15:05,HOU,31.0,KC,51.0,Home,20.0,82.0,0.0,2020011200,58162.0,,202001120kan,16806.0,401131043,5320.0,8,14,376.0,-461.0,10.0,-105.0,-105.0,50.5,-104.0,-108.0,0,outdoors,astroturf,,,00-0033537,00-0033873,Deshaun Watson,Patrick Mahomes,Bill O'Brien,Andy Reid,Shawn Hochuli,KAN00,Arrowhead Stadium
2019_19_SEA_GB,2019,DIV,19,2020-01-12,Sunday,18:40,SEA,23.0,GB,28.0,Home,5.0,51.0,0.0,2020011201,58163.0,,202001120gnb,16808.0,401131042,5321.0,7,14,197.0,-224.0,4.5,-102.0,-108.0,46.0,-114.0,103.0,0,outdoors,grass,23.0,8.0,00-0029263,00-0023459,Russell Wilson,Aaron Rodgers,Pete Carroll,Matt LaFleur,Clete Blakeman,GNB00,Lambeau Field
2019_20_TEN_KC,2019,CON,20,2020-01-19,Sunday,15:05,TEN,24.0,KC,35.0,Home,11.0,59.0,0.0,2020011900,58164.0,,202001190kan,16809.0,401131044,5322.0,8,7,286.0,-337.0,7.5,-117.0,106.0,51.0,-103.0,-108.0,0,outdoors,astroturf,,,00-0029701,00-0033873,Ryan Tannehill,Patrick Mahomes,Mike Vrabel,Andy Reid,Tony Corrente,KAN00,Arrowhead Stadium
2019_20_GB_SF,2019,CON,20,2020-01-19,Sunday,18:40,GB,20.0,SF,37.0,Home,17.0,57.0,0.0,2020011901,58165.0,,202001190sfo,16810.0,401131045,5323.0,7,8,315.0,-375.0,8.0,-107.0,-103.0,46.5,-105.0,-106.0,0,outdoors,grass,58.0,5.0,00-0023459,00-0031345,Aaron Rodgers,Jimmy Garoppolo,Matt LaFleur,Kyle Shanahan,John Hussey,SFO01,Levi's Stadium
2019_21_SF_KC,2019,SB,21,2020-02-02,Sunday,18:30,SF,20.0,KC,31.0,Neutral,11.0,51.0,0.0,2020020200,58166.0,,202002020kan,16813.0,401131047,5324.0,14,14,113.0,-125.0,1.5,-101.0,-109.0,52.5,-101.0,-110.0,0,outdoors,grass,,,00-0031345,00-0033873,Jimmy Garoppolo,Patrick Mahomes,Kyle Shanahan,Andy Reid,Bill Vinovich,MIA00,Hard Rock Stadium
