team,season,week,off_epa_play,off_success_rate,off_yards_play,off_explosive_rate,off_pass_rate,def_epa_play,def_success_rate,def_yards_play,def_explosive_allowed,redzone_td_pct,third_down_pct,games_played,plays_run
SF,2020,1,-0.044490255415439606,0.48051947355270386,4.815789699554443,0.025974025974025976,0.4675324675324675,0.021388158202171326,0.44999998807907104,4.080808162689209,0.04,0.3529411852359772,0.25,1,77
SF,2020,2,0.05924079567193985,0.4575163424015045,4.801324367523193,0.032679738562091505,0.43137254901960786,-0.04203871265053749,0.42222222685813904,3.8258426189422607,0.03333333333333333,0.8275861740112305,0.40740740299224854,2,153
SF,2020,3,0.12040888518095016,0.46341463923454285,4.7119340896606445,0.036585365853658534,0.4268292682926829,-0.07890239357948303,0.40243902802467346,3.768594980239868,0.04065040650406504,0.8727272152900696,0.4761904776096344,3,246
SF,2020,4,0.07091302424669266,0.45481929183006287,4.762195110321045,0.0391566265060241,0.46686746987951805,-0.05569995939731598,0.4197530746459961,3.7021944522857666,0.043209876543209874,0.8823529481887817,0.4716981053352356,4,332
SF,2020,5,0.025645125657320023,0.45145630836486816,4.463235378265381,0.03640776699029126,0.4733009708737864,0.004901374224573374,0.43658536672592163,4.012406826019287,0.05121951219512195,0.9473683834075928,0.446153849363327,5,412
SF,2020,6,0.0389130525290966,0.44488978385925293,4.4666666984558105,0.036072144288577156,0.45691382765531063,0.0061740875244140625,0.43558281660079956,4.0083160400390625,0.04703476482617587,0.9767442345619202,0.4430379867553711,6,499
SF,2020,7,0.06990718096494675,0.4636678099632263,4.673647403717041,0.039792387543252594,0.43944636678200694,-0.01640179194509983,0.4412296712398529,3.9871323108673096,0.045207956600361664,1.038461446762085,0.449438214302063,7,578
SF,2020,8,0.07120814919471741,0.4646616578102112,4.596358299255371,0.0406015037593985,0.4496240601503759,0.01492020022124052,0.4444444477558136,4.004769325256348,0.04381846635367762,1.0645161867141724,0.4423076808452606,8,665
SF,2020,9,0.06165449321269989,0.4674796760082245,4.604650974273682,0.04200542005420054,0.453929539295393,0.04315655305981636,0.4436717629432678,4.129943370819092,0.0458970792767733,0.9718310236930847,0.429824560880661,9,738
SF,2020,10,0.04286344721913338,0.45818182826042175,4.463892459869385,0.04242424242424243,0.45575757575757575,0.045186158269643784,0.4438839852809906,4.0525641441345215,0.04287515762925599,0.9536424279212952,0.4307692348957062,10,825
SF,2020,11,0.04286344721913338,0.45818182826042175,4.463892459869385,0.04242424242424243,0.45575757575757575,0.045186158269643784,0.4438839852809906,4.0525641441345215,0.04287515762925599,0.9536424279212952,0.4307692348957062,10,825
SF,2020,12,0.012392417527735233,0.44999998807907104,4.381997585296631,0.04456521739130435,0.4489130434782609,0.007148449774831533,0.43692660331726074,4.043123722076416,0.04243119266055046,0.9740260243415833,0.40689656138420105,11,920
SF,2020,13,0.016043199226260185,0.4508032202720642,4.451874256134033,0.045180722891566265,0.4538152610441767,0.023152928799390793,0.45104166865348816,4.150423526763916,0.04479166666666667,0.9710982441902161,0.4177215099334717,12,996
SF,2020,14,-0.012759380042552948,0.44576117396354675,4.364640712738037,0.041932543299908843,0.4576116681859617,0.0025649615563452244,0.4458293318748474,4.00682258605957,0.04122722914669223,0.9890109896659851,0.4057142734527588,13,1097
SF,2020,15,-0.00810287520289421,0.4441666603088379,4.375421047210693,0.043333333333333335,0.4558333333333333,0.012856346555054188,0.44256454706192017,3.983710289001465,0.041852181656277826,0.9850746393203735,0.4114583432674408,14,1200
SF,2020,16,-0.01168234646320343,0.44374507665634155,4.444797515869141,0.046420141620771044,0.4500393391030684,-0.0008409314323216677,0.43488943576812744,3.956702709197998,0.04095004095004095,1.0,0.4029850661754608,15,1271
SF,2020,17,-0.010384662076830864,0.4431314766407013,4.420895576477051,0.0465288035450517,0.4519940915805022,0.003586245235055685,0.437547892332077,3.9190030097961426,0.04061302681992337,0.9866666793823242,0.40092167258262634,16,1354
SF,2020,18,-0.010384662076830864,0.4431314766407013,4.420895576477051,0.0465288035450517,0.4519940915805022,0.003586245235055685,0.437547892332077,3.9190030097961426,0.04061302681992337,0.9866666793823242,0.40092167258262634,16,1354
SF,2020,19,-0.010384662076830864,0.4431314766407013,4.420895576477051,0.0465288035450517,0.4519940915805022,0.003586245235055685,0.437547892332077,3.9190030097961426,0.04061302681992337,0.9866666793823242,0.40092167258262634,16,1354
SF,2020,20,-0.010384662076830864,0.4431314766407013,4.420895576477051,0.0465288035450517,0.4519940915805022,0.003586245235055685,0.437547892332077,3.9190030097961426,0.04061302681992337,0.9866666793823242,0.40092167258262634,16,1354
SF,2020,21,-0.010384662076830864,0.4431314766407013,4.420895576477051,0.0465288035450517,0.4519940915805022,0.003586245235055685,0.437547892332077,3.9190030097961426,0.04061302681992337,0.9866666793823242,0.40092167258262634,16,1354
ARI,2020,1,0.021388158202171326,0.44999998807907104,4.080808162689209,0.04,0.41,-0.044490255415439606,0.48051947355270386,4.815789699554443,0.025974025974025976,2.4000000953674316,0.47058823704719543,1,100
ARI,2020,2,0.061409588903188705,0.4336734712123871,4.340206146240234,0.04591836734693878,0.41836734693877553,-0.06095768138766289,0.446540892124176,4.343948841094971,0.03773584905660377,0.800000011920929,0.4285714328289032,2,196
ARI,2020,3,0.04298505559563637,0.46715328097343445,4.481617450714111,0.043795620437956206,0.4306569343065693,-0.01979435235261917,0.4471544623374939,4.1487603187561035,0.044715447154471545,0.9545454382896423,0.42222222685813904,3,274
