game_id,season,week,home_team,away_team,game_time,home_score,away_score,point_differential,total_points,home_won,is_home,week_number,is_divisional,home_off_epa,home_def_epa,away_off_epa,away_def_epa,epa_differential,home_off_success_rate,away_off_success_rate,home_redzone_td_pct,away_redzone_td_pct,home_third_down_pct,away_third_down_pct,home_games_played,away_games_played,stadium,is_outdoor,is_playoff,game_type,gameday
2015_02_DET_MIN,2015,2,MIN,DET,2015-09-20T00:00:00,26.0,16.0,10.0,42.0,1,1,2,1,-0.2414543032646179,0.0132161378860473,0.0056400732137262,0.0510431565344333,-0.2092673578299582,0.3333333432674408,0.446153849363327,0.0,1.2000000476837158,0.1111111119389534,0.3000000119209289,1,1,MIN Stadium,1,False,,
2015_02_TB_NO,2015,2,NO,TB,2015-09-20T00:00:00,19.0,26.0,-7.0,45.0,0,1,2,1,0.0123921940103173,0.1445187777280807,-0.2131318897008896,0.1877389997243881,0.2687443057075143,0.3695652186870575,0.3370786607265472,0.4285714328289032,0.3333333432674408,0.4210526347160339,0.2000000029802322,1,1,NO Stadium,0,False,,
2015_02_ATL_NYG,2015,2,NYG,ATL,2015-09-20T00:00:00,20.0,24.0,-4.0,44.0,0,1,2,0,0.046654712408781,0.0147108593955636,-0.0669221580028534,-0.067710630595684,0.0311553804203867,0.3974359035491943,0.414893627166748,0.375,0.6000000238418579,0.4285714328289032,0.2857142984867096,1,1,NYG Stadium,1,False,,
2015_02_SF_PIT,2015,2,PIT,SF,2015-09-20T00:00:00,43.0,18.0,25.0,61.0,1,1,2,0,0.1144771128892898,0.2199787646532058,0.0132161378860473,-0.2414543032646179,-0.3601720929145813,0.4767441749572754,0.5357142686843872,0.6666666865348816,0.6666666865348816,0.4705882370471954,0.3571428656578064,1,1,PIT Stadium,1,False,,
2015_02_STL_WAS,2015,2,WAS,STL,2015-09-20T00:00:00,24.0,10.0,14.0,34.0,1,1,2,0,-0.1733694374561309,-0.0913891941308975,0.0,0.0,0.0,0.4269662797451019,0.0,0.75,0.0,0.4000000059604645,0.0,1,0,WAS Stadium,1,False,,
2015_02_MIA_JAX,2015,2,JAX,MIA,2015-09-20T00:00:00,23.0,20.0,3.0,43.0,1,1,2,0,-0.3204689025878906,-0.1468732059001922,-0.0913891941308975,-0.1733694374561309,-0.2555759400129318,0.375,0.4285714328289032,0.6000000238418579,0.375,0.25,0.3846153914928436,1,1,JAX Stadium,1,False,,
2015_02_BAL_OAK,2015,2,OAK,BAL,2015-09-20T00:00:00,37.0,33.0,4.0,70.0,1,1,2,0,0.0,0.0,-0.1882142722606659,-0.1046631038188934,0.0,0.0,0.3378378450870514,0.0,0.0,0.0,0.2142857164144516,0,1,OAK Stadium,1,False,,
2015_02_DAL_PHI,2015,2,PHI,DAL,2015-09-20T00:00:00,10.0,20.0,-10.0,30.0,0,1,2,1,-0.067710630595684,-0.0669221580028534,0.0147108593955636,0.046654712408781,0.0311553804203867,0.4239130318164825,0.5517241358757019,1.3846153020858765,0.8181818127632141,0.2307692319154739,0.6153846383094788,1,1,PHI Stadium,1,False,,
2015_02_SEA_GB,2015,2,GB,SEA,2015-09-20T00:00:00,27.0,17.0,10.0,44.0,1,1,2,0,0.3079031109809875,0.1261606812477111,-0.0904172360897064,-0.1291624307632446,0.1429972350597381,0.5540540814399719,0.4455445408821106,1.263157844543457,0.2857142984867096,0.5,0.4285714328289032,1,1,GB Stadium,1,False,,
2015_02_NYJ_IND,2015,2,IND,NYJ,2015-09-21T00:00:00,7.0,20.0,-13.0,27.0,0,1,2,0,-0.039585955440998,0.1189818605780601,0.0598112270236015,-0.1944835484027862,-0.412862591445446,0.4111111164093017,0.465753436088562,0.8571428656578064,1.1428571939468384,0.5,0.5,1,1,IND Stadium,0,False,,
