game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
2024_19_LAC_HOU,2024,WC,19,2025-01-11,Saturday,16:30,LAC,12.0,HOU,32.0,Home,20.0,44.0,0.0,2025011100,59829.0,,202501110htx,,401671878,,6,6,-162.0,136.0,-3.0,-105.0,-115.0,41.5,-108.0,-112.0,0,closed,astroturf,,,00-0036355,00-0039163,Justin Herbert,C.J. Stroud,Jim Harbaugh,DeMeco Ryans,Land Clark,HOU00,NRG Stadium
2024_19_PIT_BAL,2024,WC,19,2025-01-11,Saturday,20:00,PIT,14.0,BAL,28.0,Home,14.0,42.0,0.0,2025011101,59830.0,,202501110rav,,401671879,,7,7,390.0,-520.0,9.5,-112.0,-108.0,44.5,-108.0,-112.0,1,outdoors,grass,32.0,12.0,00-0029263,00-0034796,Russell Wilson,Lamar Jackson,Mike Tomlin,John Harbaugh,Alex Kemp,BAL00,M&T Bank Stadium
2024_19_DEN_BUF,2024,WC,19,2025-01-12,Sunday,13:00,DEN,7.0,BUF,31.0,Home,24.0,38.0,0.0,2025011200,59831.0,,202501120buf,,401671881,,7,7,330.0,-425.0,7.5,100.0,-120.0,48.5,-102.0,-118.0,0,outdoors,a_turf,32.0,10.0,00-0039732,00-0034857,Bo Nix,Josh Allen,Sean Payton,Sean McDermott,Bill Vinovich,BUF00,New Era Field
2024_19_GB_PHI,2024,WC,19,2025-01-12,Sunday,16:30,GB,10.0,PHI,22.0,Home,12.0,32.0,0.0,2025011201,59832.0,,202501120phi,,401671880,,7,7,205.0,-250.0,5.5,-105.0,-115.0,45.5,-110.0,-110.0,0,outdoors,grass,40.0,6.0,00-0036264,00-0036389,Jordan Love,Jalen Hurts,Matt LaFleur,Nick Sirianni,Brad Allen,PHI00,Lincoln Financial Field
2024_19_WAS_TB,2024,WC,19,2025-01-12,Sunday,20:00,WAS,23.0,TB,20.0,Home,-3.0,43.0,0.0,2025011202,59833.0,,202501120tam,,401671883,,7,7,136.0,-162.0,3.0,-110.0,-110.0,51.5,-105.0,-115.0,0,outdoors,grass,58.0,2.0,00-0039910,00-0034855,Jayden Daniels,Baker Mayfield,Dan Quinn,Todd Bowles,Craig Wrolstad,TAM00,Raymond James Stadium
2024_19_MIN_LA,2024,WC,19,2025-01-13,Monday,20:00,MIN,9.0,LA,27.0,Neutral,18.0,36.0,0.0,2025011300,59834.0,,202501130ram,,401671882,,8,8,-142.0,120.0,-2.5,-118.0,-102.0,47.5,-108.0,-112.0,0,closed,grass,,,00-0034869,00-0026498,Sam Darnold,Matthew Stafford,Kevin O'Connell,Sean McVay,John Hussey,PHO00,State Farm Stadium
2024_20_HOU_KC,2024,DIV,20,2025-01-18,Saturday,16:30,HOU,14.0,KC,23.0,Home,9.0,37.0,0.0,2025011800,59835.0,,202501180kan,,401671884,,7,13,410.0,-550.0,9.5,-110.0,-110.0,41.5,-112.0,-108.0,0,outdoors,grass,23.0,17.0,00-0039163,00-0033873,C.J. Stroud,Patrick Mahomes,DeMeco Ryans,Andy Reid,Clay Martin,KAN00,GEHA Field at Arrowhead Stadium
2024_20_WAS_DET,2024,DIV,20,2025-01-18,Saturday,20:00,WAS,45.0,DET,31.0,Home,-14.0,76.0,0.0,2025011801,59836.0,,202501180det,,401671885,,6,13,390.0,-520.0,8.5,-105.0,-115.0,55.5,-112.0,-108.0,0,dome,fieldturf,,,00-0039910,00-0033106,Jayden Daniels,Jared Goff,Dan Quinn,Dan Campbell,Ron Torbert,DET00,Ford Field
2024_20_LA_PHI,2024,DIV,20,2025-01-19,Sunday,15:00,LA,22.0,PHI,28.0,Home,6.0,50.0,0.0,2025011900,59837.0,,202501190phi,,401671937,,6,7,260.0,-325.0,7.0,-112.0,-108.0,43.5,-110.0,-110.0,0,outdoors,grass,34.0,8.0,00-0026498,00-0036389,Matthew Stafford,Jalen Hurts,Sean McVay,Nick Sirianni,Shawn Smith,PHI00,Lincoln Financial Field
2024_20_BAL_BUF,2024,DIV,20,2025-01-19,Sunday,18:30,BAL,25.0,BUF,27.0,Home,2.0,52.0,0.0,2025011901,59838.0,,202501190buf,,401671886,,8,7,-118.0,-102.0,-1.5,-102.0,-118.0,51.5,-105.0,-115.0,0,outdoors,a_turf,19.0,4.0,00-0034796,00-0034857,Lamar Jackson,Josh Allen,John Harbaugh,Sean McDermott,Carl Cheffers,BUF00,New Era Field
