game_id,season,week,home_team,away_team,game_time,home_score,away_score,point_differential,total_points,home_won,is_home,week_number,is_divisional,home_off_epa,home_def_epa,away_off_epa,away_def_epa,epa_differential,home_off_success_rate,away_off_success_rate,home_redzone_td_pct,away_redzone_td_pct,home_third_down_pct,away_third_down_pct,home_games_played,away_games_played,stadium,is_outdoor
2015_01_PIT_NE,2015,1,NE,PIT,2015-09-10T00:00:00,28,21,7,49,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NE Stadium,1
2015_01_IND_BUF,2015,1,BUF,IND,2015-09-13T00:00:00,27,14,13,41,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BUF Stadium,1
2015_01_GB_CHI,2015,1,CHI,GB,2015-09-13T00:00:00,23,31,-8,54,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CHI Stadium,1
2015_01_KC_HOU,2015,1,HOU,KC,2015-09-13T00:00:00,20,27,-7,47,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,HOU Stadium,0
2015_01_CAR_JAX,2015,1,JAX,CAR,2015-09-13T00:00:00,9,20,-11,29,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,JAX Stadium,1
2015_01_CLE_NYJ,2015,1,NYJ,CLE,2015-09-13T00:00:00,31,10,21,41,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NYJ Stadium,1
2015_01_SEA_STL,2015,1,STL,SEA,2015-09-13T00:00:00,34,31,3,65,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,STL Stadium,0
2015_01_MIA_WAS,2015,1,WAS,MIA,2015-09-13T00:00:00,10,17,-7,27,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WAS Stadium,1
2015_01_NO_ARI,2015,1,ARI,NO,2015-09-13T00:00:00,31,19,12,50,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ARI Stadium,0
2015_01_DET_SD,2015,1,SD,DET,2015-09-13T00:00:00,33,28,5,61,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,SD Stadium,1
2015_01_BAL_DEN,2015,1,DEN,BAL,2015-09-13T00:00:00,19,13,6,32,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,DEN Stadium,1
2015_01_CIN_OAK,2015,1,OAK,CIN,2015-09-13T00:00:00,13,33,-20,46,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OAK Stadium,1
2015_01_TEN_TB,2015,1,TB,TEN,2015-09-13T00:00:00,14,42,-28,56,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,TB Stadium,1
2015_01_NYG_DAL,2015,1,DAL,NYG,2015-09-13T00:00:00,27,26,1,53,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,DAL Stadium,0
2015_01_PHI_ATL,2015,1,ATL,PHI,2015-09-14T00:00:00,26,24,2,50,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ATL Stadium,0
2015_01_MIN_SF,2015,1,SF,MIN,2015-09-14T00:00:00,20,3,17,23,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,SF Stadium,1
2015_02_DEN_KC,2015,2,KC,DEN,2015-09-17T00:00:00,24,31,-7,55,0,1,2,1,-0.04929251968860626,-0.1657572239637375,-0.10466310381889343,-0.1882142722606659,0.032913535833358765,0.449438214302063,0.3478260934352875,1.2000000476837158,0.0,0.20000000298023224,0.3913043439388275,1,1,KC Stadium,1
2015_02_NE_BUF,2015,2,BUF,NE,2015-09-20T00:00:00,32,40,-8,72,0,1,2,1,0.11898186057806015,-0.03958595544099808,0.21997876465320587,0.11447711288928986,0.05306616425514221,0.3815789520740509,0.5394737124443054,0.6666666865348816,1.600000023841858,0.38461539149284363,0.6363636255264282,1,1,BUF Stadium,1
2015_02_HOU_CAR,2015,2,CAR,HOU,2015-09-20T00:00:00,24,17,7,41,1,1,2,0,-0.14687320590019226,-0.3204689025878906,-0.1657572239637375,-0.04929251968860626,0.2900604009628296,0.3448275923728943,0.38297873735427856,0.375,0.800000011920929,0.47058823704719543,0.2142857164144516,1,1,CAR Stadium,1
2015_02_ARI_CHI,2015,2,CHI,ARI,2015-09-20T00:00:00,23,48,-25,71,0,1,2,0,0.12616068124771118,0.30790311098098755,0.14451877772808075,0.012392194010317326,-0.3138690134510398,0.5054945349693298,0.44871795177459717,0.2857142984867096,1.6363636255264282,0.6111111044883728,0.5,1,1,CHI Stadium,1
2015_02_SD_CIN,2015,2,CIN,SD,2015-09-20T00:00:00,24,19,5,43,1,1,2,0,0.13717114925384521,-0.1567423939704895,0.0,0.0,0.0,0.4457831382751465,0.0,0.9600000381469727,0.0,0.3571428656578064,0.0,1,0,CIN Stadium,1
2015_02_TEN_CLE,2015,2,CLE,TEN,2015-09-20T00:00:00,28,14,14,42,1,1,2,0,-0.19448354840278625,0.05981122702360153,0.18773899972438812,-0.2131318897008896,-0.6551656648516655,0.369047611951828,0.5277777910232544,0.0,1.5,0.4000000059604645,0.5,1,1,CLE Stadium,1
2015_02_DET_MIN,2015,2,MIN,DET,2015-09-20T00:00:00,26,16,10,42,1,1,2,1,-0.24145430326461792,0.013216137886047363,0.005640073213726282,0.051043156534433365,-0.2092673578299582,0.3333333432674408,0.446153849363327,0.0,1.2000000476837158,0.1111111119389534,0.30000001192092896,1,1,MIN Stadium,1
2015_02_TB_NO,2015,2,NO,TB,2015-09-20T00:00:00,19,26,-7,45,0,1,2,1,0.012392194010317326,0.14451877772808075,-0.2131318897008896,0.18773899972438812,0.2687443057075143,0.3695652186870575,0.33707866072654724,0.4285714328289032,0.3333333432674408,0.42105263471603394,0.20000000298023224,1,1,NO Stadium,0
2015_02_ATL_NYG,2015,2,NYG,ATL,2015-09-20T00:00:00,20,24,-4,44,0,1,2,0,0.04665471240878105,0.014710859395563602,-0.0669221580028534,-0.06771063059568405,0.03115538042038679,0.39743590354919434,0.41489362716674805,0.375,0.6000000238418579,0.4285714328289032,0.2857142984867096,1,1,NYG Stadium,1
